"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"East Asia & Pacific (excluding high income)","EAP","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.27727272727273","3.22847222222222","3.22954545454545","3.28181818181818","3.33181818181818","3.35151515151515","3.28076923076923","3.23571428571429","3.20222222222222","3.20333333333333","3.18388911111111","3.13690428571429","3.11904761904762","3.12142857142857","3.10297614285714","3.09404761904762","3.06011892857143","3.05119035714286","3.03452371428572",
"Early-demographic dividend","EAR","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.37888888888889","3.38333333333333","3.39051724137931","3.38620689655172","3.4","3.40862068965517","3.3825","3.36166666666667","3.33010752688172","3.32583433333333","3.31222244444445","3.29051781609195","3.27672413793103","3.27097701149425","3.27816093103448","3.27126436781609","3.24137927586207","3.21781610344828","3.19396551724138",
"East Asia & Pacific","EAS","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.27727272727273","3.22847222222222","3.22954545454545","3.28181818181818","3.33181818181818","3.35151515151515","3.28076923076923","3.23571428571429","3.20222222222222","3.20333333333333","3.18388911111111","3.13690428571429","3.11904761904762","3.12142857142857","3.10297614285714","3.09404761904762","3.06011892857143","3.05119035714286","3.03452371428571",
"Europe & Central Asia (excluding high income)","ECA","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61333333333333","3.62166666666667","3.73541666666667","3.7875","3.72314814814815","3.70833333333333","3.709375","3.73645833333333","3.73333333333333","3.491666","3.483334","3.478334","3.50833333333333","3.49666666666667","3.5316668","3.50833333333333","3.5645835","3.5645835","3.60416675",
"Europe & Central Asia","ECS","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61333333333333","3.62166666666667","3.73541666666667","3.7875","3.72314814814815","3.70833333333333","3.709375","3.73645833333333","3.73333333333333","3.491666","3.483334","3.478334","3.50833333333333","3.49666666666667","3.5316668","3.50833333333333","3.5645835","3.5645835","3.60416675",
"Ecuador","ECU","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.45","2.425","2.3","2.20833333333333","2.20833333333333","2.15833333333333","2.075","1.99166666666667","1.99167","1.94167","1.85","1.85","1.96666666666667","1.94166666666667","1.91666666666667","1.891667","1.841667","1.691667",
"Spain","ESP","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
